"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/sigma/goon-lang/src/arena.c", "C", 0, 16, 0, 5, 21
"/home/sigma/goon-lang/src/arena.h", "C++", 14, 0, 0, 5, 19
"/home/sigma/goon-lang/src/errors.c", "C", 0, 30, 1, 9, 40
"/home/sigma/goon-lang/src/errors.h", "C++", 16, 0, 0, 7, 23
"/home/sigma/goon-lang/src/interpreter.c", "C", 0, 106, 0, 20, 126
"/home/sigma/goon-lang/src/interpreter.h", "C++", 47, 0, 0, 13, 60
"/home/sigma/goon-lang/src/lexer.c", "C", 0, 384, 0, 119, 503
"/home/sigma/goon-lang/src/lexer.h", "C++", 112, 0, 0, 23, 135
"/home/sigma/goon-lang/src/main.c", "C", 0, 58, 0, 18, 76
"/home/sigma/goon-lang/src/model.c", "C", 0, 181, 0, 65, 246
"/home/sigma/goon-lang/src/model.h", "C++", 88, 0, 0, 39, 127
"/home/sigma/goon-lang/src/parser.c", "C", 0, 133, 0, 41, 174
"/home/sigma/goon-lang/src/parser.h", "C++", 29, 0, 0, 8, 37
"/home/sigma/goon-lang/src/source.h", "C++", 8, 0, 5, 4, 17
"/home/sigma/goon-lang/src/terminal_colors.h", "C++", 62, 0, 8, 9, 79
"Total", "-", 376, 908, 14, 385, 1683